month,ontario_avg,wait_time,hospital,date
202501,2.2,3.2,Cambridge Memorial Hospital,2025-01-01
202502,2.1,3.1,Cambridge Memorial Hospital,2025-02-01
202503,2.0,3.3,Cambridge Memorial Hospital,2025-03-01
202504,2.0,3.4,Cambridge Memorial Hospital,2025-04-01
202505,2.0,3.5,Cambridge Memorial Hospital,2025-05-01
202506,1.9,3.4,Cambridge Memorial Hospital,2025-06-01
202507,2.0,3.6,Cambridge Memorial Hospital,2025-07-01
202508,1.9,3.4,Cambridge Memorial Hospital,2025-08-01
202509,2.0,3.7,Cambridge Memorial Hospital,2025-09-01
202510,1.9,3.4,Cambridge Memorial Hospital,2025-10-01
202511,1.8,3.2,Cambridge Memorial Hospital,2025-11-01
202512,2.1,3.7,Cambridge Memorial Hospital,2025-12-01
202601,1.7,3.2,Cambridge Memorial Hospital,2026-01-01
202501,2.2,3.2,Grand River Hospital,2025-01-01
202502,2.1,3.1,Grand River Hospital,2025-02-01
202503,2.0,2.9,Grand River Hospital,2025-03-01
202504,2.0,2.6,Grand River Hospital,2025-04-01
202505,2.0,2.8,Grand River Hospital,2025-05-01
202506,1.9,3.2,Grand River Hospital,2025-06-01
202507,2.0,3.1,Grand River Hospital,2025-07-01
202508,1.9,3.0,Grand River Hospital,2025-08-01
202509,2.0,2.8,Grand River Hospital,2025-09-01
202510,1.9,2.9,Grand River Hospital,2025-10-01
202511,1.8,2.7,Grand River Hospital,2025-11-01
202512,2.1,3.2,Grand River Hospital,2025-12-01
202601,1.7,2.5,Grand River Hospital,2026-01-01
202501,2.2,2.9,St. Mary's General Hospital,2025-01-01
202502,2.1,2.4,St. Mary's General Hospital,2025-02-01
202503,2.0,2.4,St. Mary's General Hospital,2025-03-01
202504,2.0,2.0,St. Mary's General Hospital,2025-04-01
202505,2.0,2.1,St. Mary's General Hospital,2025-05-01
202506,1.9,2.3,St. Mary's General Hospital,2025-06-01
202507,2.0,2.4,St. Mary's General Hospital,2025-07-01
202508,1.9,2.9,St. Mary's General Hospital,2025-08-01
202509,2.0,2.3,St. Mary's General Hospital,2025-09-01
202510,1.9,2.5,St. Mary's General Hospital,2025-10-01
202511,1.8,1.9,St. Mary's General Hospital,2025-11-01
202512,2.1,2.8,St. Mary's General Hospital,2025-12-01
202601,1.7,1.9,St. Mary's General Hospital,2026-01-01
