city,date,starts,month
Kitchener-Cambridge-Waterloo,2024-01-01,2331,January 2024
Kitchener-Cambridge-Waterloo,2024-02-01,2066,February 2024
Kitchener-Cambridge-Waterloo,2024-03-01,1461,March 2024
Kitchener-Cambridge-Waterloo,2024-04-01,6159,April 2024
Kitchener-Cambridge-Waterloo,2024-05-01,802,May 2024
Kitchener-Cambridge-Waterloo,2024-06-01,6871,June 2024
Kitchener-Cambridge-Waterloo,2024-07-01,2847,July 2024
Kitchener-Cambridge-Waterloo,2024-08-01,3955,August 2024
Kitchener-Cambridge-Waterloo,2024-09-01,1764,September 2024
Kitchener-Cambridge-Waterloo,2024-10-01,3714,October 2024
Kitchener-Cambridge-Waterloo,2024-11-01,942,November 2024
Kitchener-Cambridge-Waterloo,2024-12-01,7962,December 2024
Kitchener-Cambridge-Waterloo,2025-01-01,2554,January 2025
Kitchener-Cambridge-Waterloo,2025-02-01,3549,February 2025
Kitchener-Cambridge-Waterloo,2025-03-01,4333,March 2025
Kitchener-Cambridge-Waterloo,2025-04-01,3107,April 2025
Kitchener-Cambridge-Waterloo,2025-05-01,694,May 2025
Kitchener-Cambridge-Waterloo,2025-06-01,600,June 2025
Kitchener-Cambridge-Waterloo,2025-07-01,4579,July 2025
Kitchener-Cambridge-Waterloo,2025-08-01,7766,August 2025
Kitchener-Cambridge-Waterloo,2025-09-01,15216,September 2025
Kitchener-Cambridge-Waterloo,2025-10-01,1534,October 2025
Kitchener-Cambridge-Waterloo,2025-11-01,966,November 2025
Kitchener-Cambridge-Waterloo,2025-12-01,6771,December 2025
Kitchener-Cambridge-Waterloo,2026-01-01,2432,January 2026
Kitchener-Cambridge-Waterloo,2026-02-01,12623,February 2026
